target_id,primary_city,laundromat_status,candidate_rows,packet_ready_rows,excluded_rows,sample_names,review_note
wa-min-postal-bingen,Bingen,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-buckley,Buckley,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-cashmere,Cashmere,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-cathlamet,Cathlamet,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-clallam-bay,Clallam Bay,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-clinton,Clinton,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-colfax,Colfax,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-connell,Connell,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-darrington,Darrington,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-dayton,Dayton,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-eastsound,Eastsound,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-eatonville,Eatonville,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-forks,Forks,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-friday-harbor,Friday Harbor,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-kettle-falls,Kettle Falls,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-la-conner,La Conner,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-loon-lake,Loon Lake,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-lopez-island,Lopez Island,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-mattawa,Mattawa,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
wa-min-postal-mesa,Mesa,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no named rows.
