target_id,primary_city,settlement_size_proxy,status,observed_count,observed_names,source,source_date,review_note
national-post-office-wv-addison-ce6230c810,Addison,unknown,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-adrian-po-672cf91bb8,Adrian PO,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-advent-6703372d97,Advent,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-alderson-733e4910f8,Alderson,under_2500,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-alkol-af95b9cf0d,Alkol,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-alum-bridge-cac27a2707,Alum Bridge,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-alvy-528cc43221,Alvy,under_2500,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-ameagle-9cd071b90e,Ameagle,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-amherstdale-326f3fc417,Amherstdale,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-amma-f3d6d8e5e0,Amma,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-annamoriah-d4deb06470,Annamoriah,under_2500,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wv-anthony-bd47863ac8,Anthony,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
