target_id,primary_city,settlement_size_proxy,status,observed_count,observed_names,source,source_date,review_note
national-post-office-wy-airport-fcb22eb890,Airport,50000_plus,observed,12,Big D; Big D Oil Travel Center; Loaf 'N Jug; Maverik; Moody's Rock Shop,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-alpine-bd2d53e915,Alpine,under_2500,observed,2,Chevron; Tienda La Mexicana,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-auburn-0e0a391047,Auburn,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-beulah-02adcbe8f4,Beulah,2500_to_9999,observed,1,Stateline Station,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-big-horn-809ef111f7,Big Horn,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-boulder-wy-b9fd25d928,"Boulder, WY",under_2500,observed,1,Boulder Store,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main,2500_to_9999,observed,2,Good 2 Go; Sinclair,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-capitol-station-6ac1770321,Capitol Station,50000_plus,observed,11,Big D; Big D Oil Travel Center; Little America Travel Center; Loaf 'N Jug; Moody's Rock Shop,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-casper-2e4affc90a,Casper,50000_plus,observed,4,Big D; Common Cents; Loaf 'N Jug,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-centennial-db8e2c4b6f,Centennial,under_2500,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main,50000_plus,observed,10,Big D; Loaf 'N Jug; Maverik; Moody's Rock Shop,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
