target_id,primary_city,seed_facility_id,seed_facility_name,anchor_review_status,current_anchor_source_name,current_anchor_source_url,current_anchor_source_date,observed_current_facility_name,observed_current_facility_address,observed_current_facility_latitude,observed_current_facility_longitude,inside_target_box,evidence_summary,claim_boundary,next_action
national-post-office-wy-auburn-0e0a391047,Auburn,osm:node:8594922909,Auburn Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1353649,2026-08-16,Auburn Post Office,449 1st West St Auburn WY 83111,42.793006540278,-111.001044005179,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,osm:way:818117495,Carpenter WY Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1357090,2026-08-16,Carpenter Post Office,322 1st St Carpenter WY 82054,41.045637099418,-104.365724334065,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-fairview-c3a3697e9e,Fairview,osm:way:369613391,Fairview Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/find-location.htm?location=1435362,2026-08-16,Fairview Post Office,210 Fairview S Fairview WY 83119,42.688807449501,-110.986713302328,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-fort-bridger-8920c21878,Fort Bridger,osm:way:560399335,Fort Bridger Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1363749,2026-08-16,Fort Bridger Post Office,3730 County Road 219 Fort Bridger WY 82933,41.315844472117,-110.384173115062,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-grover-331d92f06e,Grover,osm:node:8309050144,Grover Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1365794,2026-08-16,Grover Post Office,89768 US Highway 89 Grover WY 83122,42.791808037824,-110.933280090375,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-hartville-805f814baf,Hartville,osm:node:13926365201,Hartville Post Office,current_anchor_confirmed_inside_box,USPS locator + Geofabrik seed coordinate,https://tools.usps.com/locations/details/1366403,2026-08-16,Hartville Post Office,135 Main St Hartville WY 82215,42.3272610,-104.7265900,yes,"USPS locator lists the current Post Office address; Census address geocoding did not resolve, so target-box membership uses the corresponding Geofabrik post-office seed coordinate inside the scoped-frame target box.",Confirms current postal-anchor continuity for the bounded target box only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-hillsdale-wy-82060-0af4b2594d,"Hillsdale, WY 82060",osm:way:722732347,"Hillsdale, WY Post Office 82060",current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/find-location.htm?location=1367030,2026-08-16,Hillsdale Post Office,1463 Coates Ave Hillsdale WY 82060,41.211546124617,-104.478265815614,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-la-barge-5e857e318b,LA Barge,osm:node:12947510587,LA Barge Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1369338,2026-08-16,La Barge Post Office,125 N Main St La Barge WY 83123,42.262753037004,-110.194313484554,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-lance-creek-c289a27ccf,Lance Creek,osm:way:854581524,Lance Creek Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1369791,2026-08-16,Lance Creek Post Office,1805 Highway 270 Lance Creek WY 82222,43.033969367412,-104.647387959854,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-manville-d10b6af109,Manville,osm:node:13926350502,Manville Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/find-location.htm?location=1371727,2026-08-16,Manville Post Office,225 9th Ave Manville WY 82227,42.777104447297,-104.614713924707,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
national-post-office-wy-mckinley-01b99ec89a,McKinley,osm:node:356502552,McKinley Post Office,source_gated,,,,,,,,unknown,Initialized from scoped-frame sidecar postal_only_candidate queue; current USPS or equivalent postal-anchor source review has not been completed.,"Current-anchor queue only; not a confirmed current postal anchor, numerator row, denominator eligibility decision, or frequency claim.","Resolve current postal anchor from authoritative/current source, geocode observed address, and test target-box membership."
national-post-office-wy-meriden-3054b987cf,Meriden,osm:node:356511262,Meriden Post Office,source_gated,,,,,,,,unknown,Initialized from scoped-frame sidecar postal_only_candidate queue; current USPS or equivalent postal-anchor source review has not been completed.,"Current-anchor queue only; not a confirmed current postal anchor, numerator row, denominator eligibility decision, or frequency claim.","Resolve current postal anchor from authoritative/current source, geocode observed address, and test target-box membership."
national-post-office-wy-meriden-2c2d68f793,Meriden,osm:way:1429651047,Meriden Post Office,source_gated,,,,,,,,unknown,Initialized from scoped-frame sidecar postal_only_candidate queue; current USPS or equivalent postal-anchor source review has not been completed.,"Current-anchor queue only; not a confirmed current postal anchor, numerator row, denominator eligibility decision, or frequency claim.","Resolve current postal anchor from authoritative/current source, geocode observed address, and test target-box membership."
national-post-office-wy-osage-bcbd9997e3,Osage,osm:node:12113274738,Osage Post Office,current_anchor_confirmed_inside_box,USPS locator,https://tools.usps.com/locations/details/1376347,2026-08-16,Osage Post Office,319 Nefsy Ave Osage WY 82723,43.977012868654,-104.41991607633,yes,USPS locator lists the current Post Office address; Census geocoder coordinates place the observed address inside the scoped-frame target box.,Confirms current postal anchor only; everyday-service and postal-only status remain governed by sidecar and depth evidence.,Carry to alternate-source everyday-service depth review before any numerator or estimator treatment.
