target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-wy-airport-fcb22eb890,Airport,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-alpine-bd2d53e915,Alpine,under_2500,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-auburn-0e0a391047,Auburn,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-beulah-02adcbe8f4,Beulah,2500_to_9999,checked_absent,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-big-horn-809ef111f7,Big Horn,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-boulder-wy-b9fd25d928,"Boulder, WY",under_2500,checked_absent,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main,2500_to_9999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-capitol-station-6ac1770321,Capitol Station,50000_plus,observed,observed,observed,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-casper-2e4affc90a,Casper,50000_plus,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-centennial-db8e2c4b6f,Centennial,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-devils-tower-2b647cad84,Devils Tower,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-downtown-d843f7ed9b,Downtown,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-fairview-c3a3697e9e,Fairview,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-fedex-ship-center-2a4f6d3fd4,FedEx Ship Center,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-fedex-ship-center-cffd1b3430,FedEx Ship Center,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-fort-bridger-8920c21878,Fort Bridger,2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-freedom-f474b81b17,Freedom,10000_to_49999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-gillette-ea67d0f83b,Gillette,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-glendo-53a4a63bbd,Glendo,under_2500,checked_absent,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-grant-village-d820af642d,Grant Village,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-grover-331d92f06e,Grover,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-guernsey-bd2c0c26fe,Guernsey,under_2500,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-hartville-805f814baf,Hartville,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-hillsdale-wy-82060-0af4b2594d,"Hillsdale, WY 82060",2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-la-barge-5e857e318b,LA Barge,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-lake-outlet-af3d277c4e,Lake Outlet,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-lance-creek-c289a27ccf,Lance Creek,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
