"target_id","reporting_label","raw_primary_city","observed_current_facility_name","observed_current_facility_address","final_denominator_class","denominator_eligibility","postal_only_numerator_eligibility","evidence_summary","claim_boundary"
"national-post-office-wy-carpenter-wy-f9563226fe","Carpenter","Carpenter WY","Carpenter Post Office","322 1st St Carpenter WY 82054","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","USPS confirms the Carpenter post office inside the target box; Antelope Truck Stop and TA Cheyenne are real nearby fuel/food/laundry sources but geocode outside the sampled target box.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-fairview-c3a3697e9e","Fairview","Fairview","Fairview Post Office","210 Fairview S Fairview WY 83119","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Way lists nearby Afton gas stations, but Census-geocoded Afton addresses fall outside the Fairview scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-fort-bridger-8920c21878","Fort Bridger","Fort Bridger","Fort Bridger Post Office","3730 County Road 219 Fort Bridger WY 82933","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","TA/Shell at I-80 Exit 30 Bigelow Road is a real nearby gas, food, c-store, and laundry/service context, but its embedded map coordinate is west of the Fort Bridger scoped target box.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-grover-331d92f06e","Grover","Grover","Grover Post Office","89768 US Highway 89 Grover WY 83122","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Way lists nearby Afton gas stations, but Census-geocoded Afton addresses fall south of the Grover scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-hillsdale-wy-82060-0af4b2594d","Hillsdale","Hillsdale, WY 82060","Hillsdale Post Office","1463 Coates Ave Hillsdale WY 82060","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","TA Cheyenne/Burns is a real nearby fuel, food, and laundry/service context, but Census geocoding places it outside the Hillsdale scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-lance-creek-c289a27ccf","Lance Creek","Lance Creek","Lance Creek Post Office","1805 Highway 270 Lance Creek WY 82222","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","3 Sisters in Manville is a real nearby gas, convenience, and restaurant context, but its coordinate basis is south of the Lance Creek scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-osage-bcbd9997e3","Osage","Osage","Osage Post Office","319 Nefsy Ave Osage WY 82723","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Newcastle Sinclair and Maverik are real nearby fuel/convenience/food contexts, but Census-geocoded Newcastle addresses fall outside the Osage scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-postal-service-0292d86b85","Pavillion","Postal Service","Pavillion Post Office","224 N Main St Pavillion WY 82523","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Riverton gas/convenience/food sources are real nearby service context, but Census-geocoded Riverton addresses fall outside the Pavillion scoped target box; no inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-postal-service-f8197738c3","Recluse","Postal Service","Recluse Post Office","485 Recluse Rd Recluse WY 82725","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Reviewed current service context did not place everyday service inside the Recluse scoped target box; Gillette gas/convenience evidence geocodes outside the target box.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-powder-river-3c5dfc647e","Powder River","Powder River","Powder River Post Office","35304 W Highway 20 26 Powder River WY 82648","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","County 10 describes prior Powder River food-service context as historical/defunct; no current inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
"national-post-office-wy-smoot-07fdf6cb68","Smoot","Smoot","Smoot Post Office","77693 US Highway 89 Smoot WY 83126","postal_only_depth_survivor","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Afton gas-service rows are real nearby service context, but Census-geocoded addresses fall north of and outside the Smoot scoped target box; no current inside-box everyday-service contradiction was found in this batch.","Reporting roster for scoped Wyoming dry-run numerator only; not Mountain West regional or national frequency."
