"facility_id","facility_name","city","state","review_status","review_reason","source","source_date","claim_boundary"
"osm:node:10955440431","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:10958640636","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:11002548479","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:11210958850","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:12123247232","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:13073030329","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:366286944","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:4426042479","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:5247681630","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:node:8777509054","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1091603829","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1268789789","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1288106879","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1288408144","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1464048043","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1464252658","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:1464263234","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:156845175","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:192389332","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:235231750","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:245708363","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:333755659","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:334267760","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:367139356","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:830019474","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
"osm:way:966935307","Post Office","Unknown","WY","exclude","unnamed_geofabrik_post_office_extract","Geofabrik OpenStreetMap GeoPackage extract","2026-08-15T20:21:20Z",
