"region","field_id","label","anchor_field","facility_type","facility_id","facility_name","operator","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:13333018903","ABOC","","30 North Lasalle Street","Chicago","IL","","41.8830027","-87.6326626","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:10857072630","Bank of America","Bank of America","201 South State Street","Chicago","IL","60604","41.8793373","-87.6275121","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:10926002662","Bank of America","Bank of America","","Chicago","IL","","41.8819806","-87.6246876","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:11098538515","Bank of America","Bank of America","110 North Wacker Drive","Chicago","IL","60606","41.8833826","-87.6374938","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:1631359640","Bank of America","Bank of America","135 South LaSalle Street LL18","Chicago","IL","60603","41.8796568","-87.6321268","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:3343162070","Bank of America","Bank of America","500 North Michigan Avenue","Chicago","IL","60611","41.891083","-87.6245012","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:4191703938","Bank of America","Bank of America","300 South Wacker Drive","Chicago","IL","60606","41.8779237","-87.6370998","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:4196289889","Bank of America","Bank of America","33 North Dearborn Street","Chicago","IL","60602","41.8830256","-87.6291418","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:way:152976463","Bank of America","Bank of America","105 North Halsted Street","Chicago","IL","60661","41.8834164","-87.6471428","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:way:154412230","Bank of America","Bank of America","515 North LaSalle Drive","Chicago","IL","60654","41.891427","-87.6321697","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:11394519432","BMO","BMO","115 South LaSalle Street","Chicago","IL","60603","41.8801691","-87.6320569","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:12063248991","BMO","BMO","800 West Washington Boulevard","Chicago","IL","60661","41.8833175","-87.6476015","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:2953447604","BMO","BMO","99 West Washington Street","Chicago","IL","60602","41.8830906","-87.6306257","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:9928185350","BMO","BMO","320 South Canal Street","Chicago","IL","60606","41.8769359","-87.6399594","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:9332235762","Byline Bank","Byline Bank","180 North LaSalle Street","Chicago","IL","60601","41.8853902","-87.6329468","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:10215055533","Chase","Chase","330 North Desplaines Street","Chicago","IL","60661","41.8878053","-87.6445027","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:10941242473","Chase","Chase","238 North State Street","Chicago","IL","60601","41.886677","-87.628322","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:11098503577","Chase","Chase","401 North Clark Street","Chicago","IL","60654","41.8893969","-87.630833","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:11165541519","Chase","Chase","902 North State Street","Chicago","IL","60610","41.8993102","-87.6284687","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","primary_finance_facility_candidate"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:12580485265","Chase","Chase","739 West Madison Street","Chicago","IL","","41.8815994","-87.6471158","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","osm:node:12920296575","Chase","Chase","","Chicago","IL","","41.8769909","-87.6322234","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
